index,wav_path,ground_truth,emotion,prediction,lev_distance
1,./data/wav_gen/wav/000001_indextts_disgusted.wav,sua loh lai khuann sin tik tshi bin a tsai it ho e thinn khi,disgusted,sua lok lai，khuann sin tik tshi mi a tsai，i ho e thi khi,8
2,./data/wav_gen/wav/000002_indextts_neutral.wav,un too li tsap sann too tsi ji tsap tshit too loh hoo ki lut li tsap%,neutral,un too li tsa sann too tsi li tsa tshi too，loo hoo ki lu li tsap pha,11
3,./data/wav_gen/wav/000003_indextts_happy.wav,lai pin goo pah goo tsap kau ho tshiann lai tsap sann ho kui tai pan li,happy,lai pin，goo pah goo tsap kau ho tshiann lai tsah sann ho kui tai pan li,2
4,./data/wav_gen/wav/000004_indextts_disgusted.wav,long tsong peh pah khong ji khoo tsau li kau tsap peh khoo,disgusted,long tsong peh pah khong ji khoo，tsau li kau tsap peh khoo,1
5,./data/wav_gen/wav/000005_indextts_happy.wav,kin a lit si sann gueh tsap sann pai lak,happy,kin a li si sann ue tsap sann，pai lah,5
6,./data/wav_gen/wav/000006_indextts_disgusted.wav,gua e hoo tsiau ho be si sam liok ji ji su it khong it su,disgusted,gua e hoo tsiau hoo be si，sam liok，ji ji su it khong it su,3
7,./data/wav_gen/wav/000007_indextts_angry.wav,gun tau e tian ue ho be si khong liok sam kiu ji sam ngoo it sam,angry,gun tau e tian ue ho be si，thong liok sam kiu ji sam ngoo it sam,2
8,./data/wav_gen/wav/000008_indextts_fearful.wav,i ti it kiu su it ni tshut si,fearful,i ti it kiu su it ni tshut si,0
9,./data/wav_gen/wav/000009_indextts_angry.wav,tshiann pang gua tsuan hun ki it liok kiu ngoo,angry,tshiann pang gua tsuan hun ki，it liau kiu ngoo,3
10,./data/wav_gen/wav/000010_indextts_disgusted.wav,bun peh a li khuann hia u sann ki hiunn,disgusted,bun peh a，li khuann hia u sann ki hiu,3
11,./data/wav_gen/wav/000011_indextts_sad.wav,bo m tioh koh khah khi si tua tun suann,sad,bo m tioh，koh khah khi si tua tun suann,1
