wav_path,ground_truth
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.0.wav,soo li
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.1.wav,gua e tshiu ki a si khong kiu liok khong tshit ngoo sam pat su
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.10.wav,si sing tshit si li tsap peh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.11.wav,li tsap tu peh si ji tiam ngoo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.2.wav,kin a lit si tsit pah khong peh ni tshit gueh tshe kau
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.3.wav,hak hau e te tsi si tai lam tshi tang khu tai hak loo it ho
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.4.wav,gua e tshu sue si tsit ko gueh si tshing sann pah khoo
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.5.wav,a bing e sin hun tsing ho be si e it it su ngoo pat ngoo su liok liok
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.6.wav,it kiu kiu kiu ni huat sing kiu ji it te tang
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.7.wav,pian ho khong khong sam ngoo kiu tshit ji si e kian po khah
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.8.wav,goo ka goo si tsap
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-1.9.wav,tshit kiam lak si it
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.0.wav,sing uah tui ue
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.1.wav,li se bin ai koh se gua ku
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.10.wav,gua na e long bo thiann tioh tsui siann tsiok ku eh
./data/tatmoe_test/condenser/KH_KHF1001/condenser-KH_KHF1001_A001-2.11.wav,beh ho ah beh ho ah li si sai leh kun nih
