index,model,emotion,file,audio_path,label,transcription,label_clean,transcription_clean,wer,reference_words,hits,substitutions,deletions,insertions,language,language_probability,status
1,indextts,disgusted,000001_indextts_disgusted.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000001_indextts_disgusted.wav,sua loh lai khuann sin tik tshi bin a tsai it ho e thinn khi,sua3 loh8 lai5 khuann3 sin1 tik4 tshi7 bin5 a2 tsai3 it4 ho7 e5 thinn1 khi3,sua loh lai khuann sin tik tshi bin a tsai it ho e thinn khi,sua loh lai khuann sin tik tshi bin a tsai it ho e thinn khi,0.0,15,15,0,0,0,zh,1,ok
2,indextts,neutral,000002_indextts_neutral.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000002_indextts_neutral.wav,un too li tsap sann too tsi ji tsap tshit too loh hoo ki lut li tsap,un1 too7 li7 tsap8 sann1 too7 tsi3 li7 tsap8 tshit4 too7 loh8 hoo7 ki1 lu7 ji7 tsap8%,un too li tsap sann too tsi ji tsap tshit too loh hoo ki lut li tsap,un too li tsap sann too tsi li tsap tshit too loh hoo ki lu ji tsap,0.17647058823529413,17,14,3,0,0,zh,1,ok
3,indextts,happy,000003_indextts_happy.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000003_indextts_happy.wav,lai pin goo pah goo tsap kau ho tshiann lai tsap sann ho kui tai pan li,lai5 pin1 goo7 pah4 goo7 tsap8 kau2 ho7 tshiann2 lai5 tsap8 sann1 ho7 kui7 tai5 pan7 li2,lai pin goo pah goo tsap kau ho tshiann lai tsap sann ho kui tai pan li,lai pin goo pah goo tsap kau ho tshiann lai tsap sann ho kui tai pan li,0.0,17,17,0,0,0,zh,1,ok
4,indextts,disgusted,000004_indextts_disgusted.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000004_indextts_disgusted.wav,long tsong peh pah khong ji khoo tsau li kau tsap peh khoo,long2 tsong2 peh4 pah4 khong3 ji7 khoo1 tsau7 li2 kau2 tsap8 peh4 khoo1,long tsong peh pah khong ji khoo tsau li kau tsap peh khoo,long tsong peh pah khong ji khoo tsau li kau tsap peh khoo,0.0,13,13,0,0,0,zh,1,ok
5,indextts,happy,000005_indextts_happy.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000005_indextts_happy.wav,kin a lit si sann gueh tsap sann pai lak,kin1 a2 lit8 si7 sann1 gueh8 tsap8 sann1 pai3 lak8,kin a lit si sann gueh tsap sann pai lak,kin a lit si sann gueh tsap sann pai lak,0.0,10,10,0,0,0,zh,1,ok
6,indextts,disgusted,000006_indextts_disgusted.wav,/srv/RL_project/repo/outputs/wav/000006_indextts_disgusted.wav,gua e hoo tsiau ho be si sam liok ji ji su it khong it su,gua2 e5 hoo7 tshi5 tsian2 tsiau5 sann1 siau1 si5 oh8 tshi5 tsian2 be7 SIN sut8 an3 i3 liok8 pa1 tsi1 tsi1 tsi1 su3 tshian1 siau1 si5 ong2 san2 it4 si3 su3,gua e hoo tsiau ho be si sam liok ji ji su it khong it su,gua e hoo tshi tsian tsiau sann siau si oh tshi tsian be sin sut an i liok pa tsi tsi tsi su tshian siau si ong san it si su,1.375,16,9,7,0,15,zh,1,ok
7,indextts,angry,000007_indextts_angry.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000007_indextts_angry.wav,gun tau e tian ue ho be si khong liok sam kiu ji sam ngoo it sam,gun2 tau1 e5 tian7 ue7 ho7 be2 si7 khong3 liok8 sam1 kiu2 ji7 sam1 ngoo2 it4 sam1,gun tau e tian ue ho be si khong liok sam kiu ji sam ngoo it sam,gun tau e tian ue ho be si khong liok sam kiu ji sam ngoo it sam,0.0,17,17,0,0,0,zh,1,ok
8,indextts,fearful,000008_indextts_fearful.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000008_indextts_fearful.wav,i ti it kiu su it ni tshut si,i1 ti7 it4 kiu2 su3 it4 ni5 tshut4 si3,i ti it kiu su it ni tshut si,i ti it kiu su it ni tshut si,0.0,9,9,0,0,0,zh,1,ok
9,indextts,angry,000009_indextts_angry.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000009_indextts_angry.wav,tshiann pang gua tsuan hun ki it liok kiu ngoo,tshiann2 pang1 gua2 tsuan2 hun1 ki1 it4 liok8 kiu2 ngoo2,tshiann pang gua tsuan hun ki it liok kiu ngoo,tshiann pang gua tsuan hun ki it liok kiu ngoo,0.0,10,10,0,0,0,zh,1,ok
10,indextts,disgusted,000010_indextts_disgusted.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000010_indextts_disgusted.wav,bun peh a li khuann hia u sann ki hiunn,bun5 peh4 a2 li2 khuann3 hia1 u7 sann1 ki1 hiunn1,bun peh a li khuann hia u sann ki hiunn,bun peh a li khuann hia u sann ki hiunn,0.0,10,10,0,0,0,zh,1,ok
11,indextts,sad,000011_indextts_sad.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000011_indextts_sad.wav,bo m tioh koh khah khi si tua tun suann,bo5 m7 tioh8 koh4 khah4 khi2 si7 tua7 tun7 suann1,bo m tioh koh khah khi si tua tun suann,bo m tioh koh khah khi si tua tun suann,0.0,10,10,0,0,0,zh,1,ok
12,indextts,sad,000012_indextts_sad.wav,/srv/RL_project/repo/outputs/wav_by_model/indextts/000012_indextts_sad.wav,ke lang sik tsi tshau suann u kau phann e pi khuann te too khah tsim tsiok,ke1 lang5 sik8 tsi2 tshau2 suann1 u7 kau3 pha1 e5 pi2 khuann3 te7 too5 khah4 tsim2 tsiok4,ke lang sik tsi tshau suann u kau phann e pi khuann te too khah tsim tsiok,ke lang sik tsi tshau suann u kau pha e pi khuann te too khah tsim tsiok,0.058823529411764705,17,16,1,0,0,zh,1,ok
13,indextts,disgusted,000013_indextts_disgusted.wav,/srv/RL_project/repo/outputs/wav/000013_indextts_disgusted.wav,tse si pak ping nia li uat thau khuann lam khi,tse3 i2 biau5 si1 pah4 si1 kha3 khe1 si3 jian5 phin2 nia5 li2 uat4 pa2 ba7 tsian3 thau5 u7 tsian3 tsian3 khi2 san1,tse si pak ping nia li uat thau khuann lam khi,tse i biau si pah si kha khe si jian phin nia li uat pa ba tsian thau u tsian tsian khi san,1.4545454545454546,11,7,4,0,12,zh,1,ok
