index,model,emotion,file,audio_path,label,transcription,label_clean,transcription_clean,wer,reference_words,hits,substitutions,deletions,insertions,language,language_probability,status
1,a2,surprised,000001_a2_surprised.wav,/srv/RL_project/repo/outputs/wav/000001_a2_surprised.wav,sua3-loh8-lai5 khuann3 sin1-tik4-tshi7 bin5-a2-tsai3 it4 ho7 e5 thinn1-khi3.,spigarisulu si7 beh4 loh8 hai2 loh8 khuann3 tue3 siong1 long7 tih4 pho7 se1 bin7 bin7 bok8 tsai1 thue3 i1 pho2 hoo7 bian2 si1 tiunn2 hua5 kik4,sua3 loh8 lai5 khuann3 sin1 tik4 tshi7 bin5 a2 tsai3 it4 ho7 e5 thinn1 khi3,spigarisulu si7 beh4 loh8 hai2 loh8 khuann3 tue3 siong1 long7 tih4 pho7 se1 bin7 bin7 bok8 tsai1 thue3 i1 pho2 hoo7 bian2 si1 tiunn2 hua5 kik4,1.6,15,2,13,0,11,zh,1,ok
2,a2,fearful,000002_a2_fearful.wav,/srv/RL_project/repo/outputs/wav/000002_a2_fearful.wav,"un1-too7 li7-tsap8-sann1 too7 tsi3 ji7-tsap8 tshit4 too7,loh8-hoo7 ki1-lut8 li7 tsap8%.",Speak very slowly e5 to1 se1 li7 tsap8 tsap8 peh4,un1 too7 li7 tsap8 sann1 too7 tsi3 ji7 tsap8 tshit4 too7 loh8 hoo7 ki1 lut8 li7 tsap8%,Speak very slowly e5 to1 se1 li7 tsap8 tsap8 peh4,0.9411764705882353,17,1,9,7,0,zh,1,ok
3,a2,sad,000003_a2_sad.wav,/srv/RL_project/repo/outputs/wav/000003_a2_sad.wav,lai5-pin1 goo7-pah4 goo7-tsap8 kau2 ho7 tshiann2-lai5 tsap8-sann1 ho7 kui7-tai5 pan7-li2.,speak very slowly phinn7 a2 tsok4 pian3 phau1 jian5 tsa2 phinn3 kau7 to7 ho5 bian7 tshing1 kua1 thih4 tsai7 phiat4 tsa1 nua5 ho5 bian7 kue2 su7 e5 tih4,lai5 pin1 goo7 pah4 goo7 tsap8 kau2 ho7 tshiann2 lai5 tsap8 sann1 ho7 kui7 tai5 pan7 li2,speak very slowly phinn7 a2 tsok4 pian3 phau1 jian5 tsa2 phinn3 kau7 to7 ho5 bian7 tshing1 kua1 thih4 tsai7 phiat4 tsa1 nua5 ho5 bian7 kue2 su7 e5 tih4,1.6470588235294117,17,0,17,0,11,zh,1,ok
4,a2,surprised,000004_a2_surprised.wav,/srv/RL_project/repo/outputs/wav/000004_a2_surprised.wav,"long2-tsong2 peh4 pah4 khong3-ji7 khoo1,tsau7 li2 kau2-tsap8 peh4 khoo1.",speak very slowly long5 song1 thoo3 peh8 phah4 khong1 khui1 khoo2 si3 ian5 lit8 too7 kau2 tsap8 peh4 peh4 khong7,long2 tsong2 peh4 pah4 khong3 ji7 khoo1 tsau7 li2 kau2 tsap8 peh4 khoo1,speak very slowly long5 song1 thoo3 peh8 phah4 khong1 khui1 khoo2 si3 ian5 lit8 too7 kau2 tsap8 peh4 peh4 khong7,1.3076923076923077,13,3,10,0,7,zh,1,ok
5,a2,surprised,000005_a2_surprised.wav,/srv/RL_project/repo/outputs/wav/000005_a2_surprised.wav,"kin1-a2-lit8 si7 sann1-gueh8 tsap8-sann1,pai3-lak8.","Speak very slowly, your name, moma seven tsann1 na5 boo7 peh8 ui5 li7 khuat4",kin1 a2 lit8 si7 sann1 gueh8 tsap8 sann1 pai3 lak8,Speak very slowly your name moma seven tsann1 na5 boo7 peh8 ui5 li7 khuat4,1.4,10,0,10,0,4,zh,1,ok
6,a2,surprised,000006_a2_surprised.wav,/srv/RL_project/repo/outputs/wav/000006_a2_surprised.wav,gua2 e5 hoo7-tsiau3 ho7-be2 si7 sam1 liok8 ji7 ji7 su3 it4 khong3 it4 su3.,Speak very static safe ho7 sian1 tshui3 ho7 sian1 be7 tu2 se3 bian7 suann1 moo1 nia5 te2 se3 bian7 su1 tshue7 khu1 khong1 kip8 bu7 tshok4 tshue7,gua2 e5 hoo7 tsiau3 ho7 be2 si7 sam1 liok8 ji7 ji7 su3 it4 khong3 it4 su3,Speak very static safe ho7 sian1 tshui3 ho7 sian1 be7 tu2 se3 bian7 suann1 moo1 nia5 te2 se3 bian7 su1 tshue7 khu1 khong1 kip8 bu7 tshok4 tshue7,1.625,16,1,15,0,11,zh,1,ok
7,a2,neutral,000007_a2_neutral.wav,/srv/RL_project/repo/outputs/wav/000007_a2_neutral.wav,gun2-tau1 e5 tian7-ue7 ho7-be2 si7 khong3 liok8 sam1 kiu2 ji7 sam1 ngoo2 it4 sam1.,stickberry slot good to1 un7 e5 phinn3 tian2 sian1 hui7 lian5 khong1 tshui3 loo2 keh4 sat4 mui2 khiu2 lip8 bian2 senn1 bian7 ngoo2 tshu3 ue7 hu1 se1 mue7,gun2 tau1 e5 tian7 ue7 ho7 be2 si7 khong3 liok8 sam1 kiu2 ji7 sam1 ngoo2 it4 sam1,stickberry slot good to1 un7 e5 phinn3 tian2 sian1 hui7 lian5 khong1 tshui3 loo2 keh4 sat4 mui2 khiu2 lip8 bian2 senn1 bian7 ngoo2 tshu3 ue7 hu1 se1 mue7,1.5294117647058822,17,2,15,0,11,zh,1,ok
8,a2,angry,000008_a2_angry.wav,/srv/RL_project/repo/outputs/wav/000008_a2_angry.wav,i1-ti7 it4 kiu2 su3 it4 ni5 tshut4-si3.,Speak very slow e te5 pho1 git8 lu2 su1 thui5 hun1 lip8 tiunn2 tshiu2 put4 si3,i1 ti7 it4 kiu2 su3 it4 ni5 tshut4 si3,Speak very slow e te5 pho1 git8 lu2 su1 thui5 hun1 lip8 tiunn2 tshiu2 put4 si3,1.6666666666666667,9,1,8,0,7,zh,1,ok
9,a2,fearful,000009_a2_fearful.wav,/srv/RL_project/repo/outputs/wav/000009_a2_fearful.wav,tshiann2 pang1 gua2 tsuan2 hun1-ki1 it4 liok8 kiu2 ngoo2.,Speak very slowly. tshing1 too7 pang1 guan5 gua2 tsuan5 too7 hun1 mi5 kionn1 it4 po2 liok8 ke3 ki1 tiu7 ng1 tue2,tshiann2 pang1 gua2 tsuan2 hun1 ki1 it4 liok8 kiu2 ngoo2,Speak very slowly tshing1 too7 pang1 guan5 gua2 tsuan5 too7 hun1 mi5 kionn1 it4 po2 liok8 ke3 ki1 tiu7 ng1 tue2,1.6,10,5,5,0,11,zh,1,ok
10,a2,disgusted,000010_a2_disgusted.wav,/srv/RL_project/repo/outputs/wav/000010_a2_disgusted.wav,"bun5-peh4--a2,li2 khuann3 hia1 u7 sann1-ki1 hiunn1.",Speak very slowly but both u7 khuann3 hiau2 me7 iu5 e5 san2 ni5 kio3 hiunn1 kan1,bun5 peh4 a2 li2 khuann3 hia1 u7 sann1 ki1 hiunn1,Speak very slowly but both u7 khuann3 hiau2 me7 iu5 e5 san2 ni5 kio3 hiunn1 kan1,1.4,10,2,8,0,6,zh,1,ok
11,a2,fearful,000011_a2_fearful.wav,/srv/RL_project/repo/outputs/wav/000011_a2_fearful.wav,"bo5-m7-tioh8,koh4-khah4 khi3 si7 tua7-tun7-suann1.",pi7 iok8 gueh8 liok8 si5 tah4 ai3 tshue1 tshiu7 noo7 khi2 tshui3 sin1 guan5 tsuai1 jiunn5 un7 tsiann5 bo5 e5 suann1 oh8,bo5 m7 tioh8 koh4 khah4 khi3 si7 tua7 tun7 suann1,pi7 iok8 gueh8 liok8 si5 tah4 ai3 tshue1 tshiu7 noo7 khi2 tshui3 sin1 guan5 tsuai1 jiunn5 un7 tsiann5 bo5 e5 suann1 oh8,2.1,10,1,9,0,12,zh,1,ok
12,a2,happy,000012_a2_happy.wav,/srv/RL_project/repo/outputs/wav/000012_a2_happy.wav,"ke1-lang5,sik8-tsi2,tshau2-suann1,u7-kau3 phann7--e5,pi2 khuann3 te7-too5 khah4 tsim1-tsiok4.",speed very slow kan1 ni5 sai1 khai3 tseh4 tshau1 gua7 noo2 sian1 ui5 thann1 iong1 khiau1 tik8 pha1 senn1 tseh4 si3 be7 tshik4 kha1 phin2 tshu3 peh4 tsiok4 pho7 e5,ke1 lang5 sik8 tsi2 tshau2 suann1 u7 kau3 phann7 e5 pi2 khuann3 te7 too5 khah4 tsim1 tsiok4,speed very slow kan1 ni5 sai1 khai3 tseh4 tshau1 gua7 noo2 sian1 ui5 thann1 iong1 khiau1 tik8 pha1 senn1 tseh4 si3 be7 tshik4 kha1 phin2 tshu3 peh4 tsiok4 pho7 e5,1.7058823529411764,17,1,16,0,13,zh,1,ok
13,a2,sad,000013_a2_sad.wav,/srv/RL_project/repo/outputs/wav/000013_a2_sad.wav,"tse1 si7 pak4-ping5 nia5,li2 uat8-thau5 khuann3 lam5--khi3.",Speak very slowly tsian5 se1 bian7 phah4 ping5 phi1 nia5 mi7 to3 uai7 the3 thau5 phih4 huah4 se1 lam7 khi2 thui3,tse1 si7 pak4 ping5 nia5 li2 uat8 thau5 khuann3 lam5 khi3,Speak very slowly tsian5 se1 bian7 phah4 ping5 phi1 nia5 mi7 to3 uai7 the3 thau5 phih4 huah4 se1 lam7 khi2 thui3,1.6363636363636365,11,3,8,0,10,zh,1,ok
14,a2,disgusted,000014_a2_disgusted.wav,/srv/RL_project/repo/outputs/wav/000014_a2_disgusted.wav,"kong1-king2 sit8-tsai7 tsan2,ang5-ang5 he1 si7--siann2?",speak very slowly kong1 ne1 king2 tshiu1 lai7 tse5 bin5 tsang3 toh4 ang5 phainn2 gau5 ho2 se1 se1 bun7 jian5 too3,kong1 king2 sit8 tsai7 tsan2 ang5 ang5 he1 si7 siann2,speak very slowly kong1 ne1 king2 tshiu1 lai7 tse5 bin5 tsang3 toh4 ang5 phainn2 gau5 ho2 se1 se1 bun7 jian5 too3,1.8,10,3,7,0,11,zh,1,ok
